,title,Average total pay,additional pay,creditbility
0,Counter Help,$14,$0,Based on 43 Salaries
1,General Manager,$28,$9,Based on 27 Salaries
2,Cashier,$15,$0,Based on 25 Salaries
3,Assistant Manager,$19,$2,Based on 23 Salaries
4,Cook,$17,$0,Based on 21 Salaries
5,Cook,$17,$0,Based on 21 Salaries
6,Kitchen Help,$17,0,Based on 15 Salaries
7,Shift Leader,$19,0,Based on 12 Salaries
8,Counter Help,$14,$0,Based on 11 Salaries
9,Lead Counter,$13,0,Based on 6 Salaries
10,Cashier,$14,$0,Based on 6 Salaries
11,Shift Leader,$19,0,Based on 6 Salaries
12,Front of House,$13,0,Based on 4 Salaries
13,Counter Help,$14,$0,Based on 43 Salaries
14,General Manager,$28,$9,Based on 27 Salaries
15,Cashier,$15,$0,Based on 25 Salaries
16,Assistant Manager,$19,$2,Based on 23 Salaries
17,Cook,$17,$0,Based on 21 Salaries
18,Cook,$17,$0,Based on 21 Salaries
19,Kitchen Help,$17,0,Based on 15 Salaries
20,Shift Leader,$19,0,Based on 12 Salaries
21,Counter Help,$14,$0,Based on 11 Salaries
22,Lead Counter,$13,0,Based on 6 Salaries
23,Cashier,$14,$0,Based on 6 Salaries
24,Shift Leader,$19,0,Based on 6 Salaries
25,Front of House,$13,0,Based on 4 Salaries
26,Counter Help,$14,$0,Based on 43 Salaries
27,General Manager,$28,$9,Based on 27 Salaries
28,Cashier,$15,$0,Based on 25 Salaries
29,Assistant Manager,$19,$2,Based on 23 Salaries
30,Cook,$17,$0,Based on 21 Salaries
31,Cook,$17,$0,Based on 21 Salaries
32,Kitchen Help,$17,0,Based on 15 Salaries
33,Shift Leader,$19,0,Based on 12 Salaries
34,Counter Help,$14,$0,Based on 11 Salaries
35,Lead Counter,$13,0,Based on 6 Salaries
36,Cashier,$14,$0,Based on 6 Salaries
37,Shift Leader,$19,0,Based on 6 Salaries
38,Front of House,$13,0,Based on 4 Salaries
39,Counter Help,$14,$0,Based on 43 Salaries
40,General Manager,$28,$9,Based on 27 Salaries
41,Cashier,$15,$0,Based on 25 Salaries
42,Assistant Manager,$19,$2,Based on 23 Salaries
43,Cook,$17,$0,Based on 21 Salaries
44,Cook,$17,$0,Based on 21 Salaries
45,Kitchen Help,$17,0,Based on 15 Salaries
46,Shift Leader,$19,0,Based on 12 Salaries
47,Counter Help,$14,$0,Based on 11 Salaries
48,Lead Counter,$13,0,Based on 6 Salaries
49,Cashier,$14,$0,Based on 6 Salaries
50,Shift Leader,$19,0,Based on 6 Salaries
51,Front of House,$13,0,Based on 4 Salaries
52,Counter Help,$14,$0,Based on 43 Salaries
53,General Manager,$28,$9,Based on 27 Salaries
54,Cashier,$15,$0,Based on 25 Salaries
55,Assistant Manager,$19,$2,Based on 23 Salaries
56,Cook,$17,$0,Based on 21 Salaries
57,Cook,$17,$0,Based on 21 Salaries
58,Kitchen Help,$17,0,Based on 15 Salaries
59,Shift Leader,$19,0,Based on 12 Salaries
60,Counter Help,$14,$0,Based on 11 Salaries
61,Lead Counter,$13,0,Based on 6 Salaries
62,Cashier,$14,$0,Based on 6 Salaries
63,Shift Leader,$19,0,Based on 6 Salaries
64,Front of House,$13,0,Based on 4 Salaries
