,review_title,employee_status,Job_title,review_date,pros,cons,advise,ratings
0,Amazing Place to Work,Current Employee,Kitchen Help,2022-03-16,"Good hours, great pay, great management","Always busy, lots of work, have to multitask a lot",listen to employees more about the times they can and cannot work,5.0
1,Good Overall,"Former Employee, more than 3 years",General Manager,2022-03-18,"Great pay, meet new people",Terrible work-life balance for anyone above a shift leader.,none,4.0
2,Good job,Former Employee,Kitchen Helper,2022-03-16,"The People are awesome
The pay is good",It’s hard work especially during rush hour,Work with your employees,4.0
3,Amazing,"Current Employee, less than 1 year",Team Member,2022-03-14,"Flexible schedule
Respect your outside life
Easy work
Great environment
Inspiring","rush hours
lots of manual labor",none,5.0
4,Good,Former Employee,Counter Help,2022-03-11,A lot of locations acutally care about how the business runs,"They would promote people who don’t care for the job over someone who tries really hard. 
Really want you to be a certain way for benefits",None,5.0
5,its okay,"Current Employee, more than 5 years",Panda Express,2022-03-10,all good things great team work,sometimes your not allowed to eat more than 10 mins because of rush,they are good people,5.0
6,"Great company, but not too flexible with hours","Former Employee, less than 1 year",Cook,2022-03-10,"The management team was very organized and always provided a great working environment. I enjoyed cooking the dishes and I was able to get into a great rhythm, even when it was busy.","The hours I worked were not too flexible with my schedule, and you are not guaranteed to get a shift off if you ask two weeks in advance. Other than that, I had a great experience working here.",More flexibility with schedules.,4.0
7,good,"Current Employee, more than 3 years",Sales Associate,2022-03-09,good and not as hard,kind of fast paced and not easy,none,4.0
8,Very good pay and good working environment,"Current Employee, less than 1 year",Sales Floor Team Member,2022-03-07,"Flexible Schedule 
Pays Well
Free meals while working 
Nice uniforms",Really hot sometimes in the work area,none,5.0
9,Recommend,Current Employee,Customer Service Associate,2022-03-08,"Staff welcoming,schedule flexibility  , good management","The customers are nasty,rude and disrespectful",none,4.0
10,Recommend,Current Employee,Customer Service Associate,2022-03-08,"Staff welcoming,schedule flexibility  , good management","The customers are nasty,rude and disrespectful",none,4.0
11,EASY!,Former Employee,Worker,2022-03-07,Pretty easy to for everyone,Dealing with different customers on a daily,none,5.0
12,Salary,Current Employee,General Manager,2022-03-01,"Money is great
Bonus program is great","no support from supervisor.
there is no work/life balance",none,4.0
13,Panda Express,Current Employee,Cook,2022-03-03,"Clean, fresh, fun, good pay, good food","Rude Customers, online orders, rude doordashers, truck issues, hours",none,5.0
14,Average Experience,Former Employee,Food Service Worker,2022-03-03,Good food and regular schedule,Minimum pay for a food franchise,none,4.0
15,PAy,Former Employee,General Manager,2022-03-18,Pay was great with bonus,No work-life balance and favorite based,none,3.0
16,Cook,Current Employee,Line Cook,2022-03-17,"Coworkers are friendly

Free food on break

Pay isn’t bad","Only two  shifts available to work

They expect you to do multiple things at once

They want you to rush

They want you to work all day",none,3.0
17,Okay For Developing Work Experience,"Current Employee, less than 1 year",Sales Associate,2022-03-17,Flexible for college and high school students.,The pay is not great.,none,2.0
18,Oke job,"Former Employee, more than 1 year",Cook,2022-03-01,"Lot of fun cooking
Learn new skills","Understaffed
Management is 50/50
People dont care and dont try",none,4.0
19,Good for starting to work,"Former Employee, more than 1 year",Cook,2022-03-01,"Shape you up for your next upcoming jobs if you plan on working their for a year or so , learn a lot their.","Understaffed most of the time , sometimes just a 2 person job in the boh",none,4.0
20,good,"Current Employee, more than 1 year",Counter Help,2022-02-28,good job work here it’s great,nothing great place to work,none,5.0
21,Ok,"Current Employee, more than 1 year",Line Cook,2022-02-28,Pay is ok compared to other restaurants,People get mad most of the time,Manager bad,4.0
22,Not bad,"Former Employee, more than 1 year",Anonymous Employee,2022-03-01,The pay is pretty good.,There's a lot of work.,Be ready for a challenge.,4.0
23,.,"Current Employee, less than 1 year",Cashier,2022-02-27,"good pay, organized, flexible schedule",sometimes the flow of customers is overwhelming during rush.,none,5.0
24,Panda Express review,"Former Employee, more than 8 years",Cook,2022-03-14,Clean environment teaches you how to use a wok,No promotional opportunities if you are not traditional,Promotion should be base off performance not who you know,2.0
25,Good experience,"Former Employee, more than 3 years",PIC (Person In Charge),2022-02-26,"Chance of promotion/growth if you are a good worker, they work with your hours.",Having to deal with rude costumers,Talk to your workers more/check in on them,4.0
26,Good,"Current Employee, less than 1 year",Cook,2022-03-13,Good benefits and good environment,Long hour in the kitchen,none,3.0
27,1st job,"Current Employee, less than 1 year",Line Worker,2022-02-25,"Good pay, flexible schedule, you eat for free","Gets busy very fast, food not always ready, managers can be rude",none,4.0
28,Good experience,Current Employee,Cashier,2022-02-25,Customer service was pretty good,Not enough hours during the week because of school,none,5.0
29,Average Experience,"Former Employee, more than 1 year",Part Time Cashier,2022-03-10,"good community, good management, free lunch","low pay, stressful environment, late hours",none,3.0
30,fast paced,Current Employee,Front End Associate,2022-03-11,"free food and drink, good pay",managers expect too much from new employees.,none,3.0
